Country_Name_en,Country_name,Income_Group,Region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,阿鲁巴,高收入国家,,,,4.013612612,4.131341304,4.79154627,11.26030655,5.141931058,7.326473808,4.973811303,4.045859909,6.541585132,8.338924699
Afghanistan,阿富汗,低收入国家,南亚,,,,,,,,,,,,
Angola,安哥拉,中低等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,,,,,,
Albania,阿尔巴尼亚,中高等收入国家,欧洲与中亚地区（不包括高收入）,,,1.328023605,1.464672678,1.016290198,0.925322771,0.889663522,0.257205729,1.633274123,0.784246829,0.095825626,0.049513553
Andorra,安道尔共和国,高收入国家,,23.79611688,16.39515195,12.19216093,23.63598166,18.50005037,20.65735502,23.60597543,20.69012738,22.64626371,24.31814395,23.25459292,28.46055971
Arab World,阿拉伯联盟国家,,,,,,,,2.05601454,1.738167996,3.478546967,,2.635926962,53.33449836,7.318006814
United Arab Emirates,阿拉伯联合酋长国,高收入国家,,,3.355607275,,,,3.760729147,3.409138433,8.940675073,,2.618072263,119.9385817,13.62715629
Argentina,阿根廷,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,7.031525045,9.376349431,9.070085735,7.747796267,7.354375081,6.668610427,7.478181328,7.074803755,9.26893795,9.020165318,9.237250108,5.334288406
Armenia,亚美尼亚,中高等收入国家,欧洲与中亚地区（不包括高收入）,1.139896007,1.573331286,2.842802075,2.324428036,3.373336212,2.850901424,3.027848322,3.021633733,5.651860352,6.136138106,7.569736185,7.053866178
American Samoa,美属萨摩亚,中高等收入国家,东亚与太平洋地区（不包括高收入）,,,,,,,,,,,,
Antigua and Barbuda,安提瓜和巴布达,高收入国家,,,,,,,,,,,0.026055572,0.375050372,0.443858837
Australia,澳大利亚,高收入国家,,12.05407808,12.76225137,14.19153992,13.90687553,15.19796806,14.67368856,15.17743511,15.90671471,16.33994243,17.48002781,14.62337236,16.70831773
Austria,奥地利,高收入国家,,13.00058486,12.68377232,13.45197036,13.71339019,13.26218013,14.58330899,15.41056756,15.52759531,15.07659303,14.51024155,12.87232696,11.63852582
Azerbaijan,阿塞拜疆,中高等收入国家,欧洲与中亚地区（不包括高收入）,3.710591879,1.059580518,1.008561524,1.366372846,1.788949058,7.944567119,13.70865558,8.141591782,4.202278461,2.71506513,3.052943251,4.032560142
Burundi,布隆迪,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,8.957822791,,,0.305334494,1.457298271,3.492667709,3.195982557,1.663633835,17.04276442
Belgium,比利时,高收入国家,,8.473720655,8.948731578,11.36024603,11.16928346,10.54594639,11.86364453,12.02649142,13.36093499,13.65319226,13.14023497,10.67642411,10.31892299
Benin,贝宁,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,1.275855655,4.135516658,0.964493027,2.830054462,3.581709205,
Burkina Faso,布基纳法索,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,0.745313488,7.908217982,7.313790573,8.637612147,14.00350241,11.04978863,5.298440273,6.019716212,5.958174131,
Bangladesh,孟加拉国,中低等收入国家,南亚,,0.435932219,0.305866875,0.213043477,0.19495842,0.462636615,0.29913258,,0.307887775,,,
Bulgaria,保加利亚,中高等收入国家,欧洲与中亚地区（不包括高收入）,6.331966117,7.022503055,8.699362628,8.429318527,7.834283646,8.054910364,8.286476506,7.361280042,8.189288786,8.871864106,9.531543938,10.12063747
Bahrain,巴林,高收入国家,,,,0.031207636,0.110260452,0.152283226,0.386616992,0.592045855,1.494527671,0.957772581,1.053603194,,
"Bahamas, The",巴哈马,高收入国家,,,,3.27E-05,0.001796119,,,,,,,,
Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,中高等收入国家,欧洲与中亚地区（不包括高收入）,,4.344057484,3.463532417,2.720293307,3.157483486,2.552488535,2.354968377,2.449454163,2.918602425,2.68674262,5.498403946,5.234733765
Belarus,白俄罗斯,中高等收入国家,欧洲与中亚地区（不包括高收入）,,2.423698836,3.172677888,3.039152802,2.589592988,2.955699613,4.563913667,4.122593799,4.441535729,4.850059879,4.36287332,3.984640698
Belize,伯利兹,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,,,,4.775579168,,,,,,8.17E-05,0.066623915
Bermuda,百慕大,高收入国家,,,,,,,12.34846455,12.60000423,28.60412471,27.24675596,48.813978,21.79230484,17.05795343
Bolivia,玻利维亚,中低等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,4.679168788,4.434575883,4.933175529,8.3976111,13.26777166,9.223904712,9.366277406,8.057902215,6.402594397,4.456997569,5.679736563,4.857395691
Brazil,巴西,中高等收入国家,拉丁美洲与加勒比海地区（不包括高收入）,,12.23199643,14.15618296,12.05234017,10.57557748,11.27277716,10.4315303,11.36344629,13.13877132,14.3371584,13.31290322,12.95061345
Barbados,巴巴多斯,高收入国家,,,,,,,,,,,,,
Brunei Darussalam,文莱达鲁萨兰国,高收入国家,,,,20.7118099,28.63380029,22.55413084,15.14438125,17.04627694,9.513787834,19.5662735,13.80403738,30.32708333,0.042349013
Bhutan,不丹,中低等收入国家,南亚,0.751439548,0.126757285,0.215992735,0.13731061,8.76E-05,0.023029919,,,,,,
Botswana,博茨瓦纳,中高等收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,,,,0.396017214,0.249401721,0.698273676,0.42086509,0.936362828,0.624241982
Central African Republic,中非共和国,低收入国家,撒哈拉以南非洲地区（不包括高收入）,,,,22.62927138,0.032534632,1.413306999,0.289135277,,5.561389372,13.33086965,27.92529616,
Canada,加拿大,高收入国家,,14.93062921,15.43364601,18.31684989,15.97178676,15.09923873,16.00543186,15.81899031,15.08228443,15.17479436,14.46681227,14.641965,15.72303808
Central Europe and the Baltics,中歐和波羅的海,,,10.91125967,11.30805366,12.91408857,13.2284199,12.91907388,12.62097636,12.46454917,12.62862362,12.56331217,13.24312277,13.02885529,13.12042667
Switzerland,瑞士,高收入国家,,23.93848987,24.95977477,26.78604178,25.90732099,25.37579882,26.38366358,27.05794078,26.96911391,27.34676755,27.57731151,14.07733081,13.37489915
Channel Islands,海峡群岛,高收入国家,,,,,,,,,,,,,
